2026-07-24 17:08:52,929 | WARNING | ACCESS DENIED | Op: READ | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-24 17:08:52,929 | WARNING | ACCESS DENIED | Op: WRITE | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-26 19:28:29,221 | WARNING | ACCESS DENIED | Op: READ | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-26 19:31:02,218 | WARNING | ACCESS DENIED | Op: READ | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-26 19:31:02,218 | WARNING | ACCESS DENIED | Op: WRITE | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 00:27:10,109 | WARNING | ACCESS DENIED | Op: READ | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 00:27:10,109 | WARNING | ACCESS DENIED | Op: WRITE | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,275 | WARNING | ACCESS DENIED | Op: READ | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,276 | WARNING | ACCESS DENIED | Op: WRITE | Path: secret/alice@example.com/notes | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,313 | WARNING | ACCESS DENIED | Op: WRITE | Path: secret/alice@example.com/database | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,314 | WARNING | ACCESS DENIED | Op: DELETE | Path: secret/alice@example.com/database | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,323 | WARNING | ACCESS DENIED | Op: READ | Path: secret/alice@example.com/database | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,327 | WARNING | ACCESS DENIED | Op: MANAGE_POLICY | Path: secret/alice@example.com/item | Caller: bob@example.com | Owner: alice@example.com
2026-07-31 09:10:27,328 | WARNING | ACCESS DENIED | Op: READ_POLICY | Path: secret/alice@example.com/item | Caller: bob@example.com | Owner: alice@example.com
